Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.0024546118577321373    8231                     1.9264582972542243       1.921252630025425        0.08982299060577424      0.8139870025841213       1.0620940521610691       0.8570630394008317       0.999983548              0.05                     2.138629172245661        2e-05                    0.42909692898392676      4e-06                    0.17942708333333332      1.4531769                1.6131338                67.19208133581913        0.6661931818181819       0.6181344696969697       1e-05                    33                       0.40102879928820057      2.2665568843032373       0.0                      0.0                      5.985402309533321        
200                      0.3020893159839842       836866                   0.4629405559608473       6.785380437482782        0.21677193462045063      0.817907876093391        1.0022288546780427       0.857009887072615        0.996669128              0.05                     4.975806001573801        2e-05                    0.4308885645586997       4e-06                    0.224853515625           -0.2905052               2.9222353                6.845740925181996        1.0                      0.8577178030303031       1e-05                    6633                     0.3053402394959421       1.1177191878810073       0.6072502136230469       0.696459174156189        0.2728729681535201       
400                      0.6053459998634126       1666464                  1.8321744874210895       7.944503179446611        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.993350736              0.05                     2.225992016494274        2e-05                    0.43530348665080965      4e-06                    0.31494140625            -0.28214404              2.3746417                5.167348457105232        1.0                      0.9067234848484849       1e-05                    13233                    0.29583884008003003      1.046486536661784        0.6004247069358826       0.6597125381231308       0.15059553493152963      
600                      0.9096167265044318       2496064                  4.285866604422661        8.717359405135696        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.990032336              0.05                     1.0053923088125885       2e-05                    0.429565719794482        4e-06                    0.2744140625             -0.34720057              1.6062638                4.577348998098662        1.0                      0.9455492424242424       1e-05                    19833                    0.2893988652662797       1.009303988832416        0.5215399712324142       0.5967074036598206       0.1273038351174557       
800                      1.2109876930713654       3325664                  1.9170519580858216       6.082179916649707        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.986713936              0.05                     3.4808044862002134       2e-05                    0.43990824557840824      4e-06                    0.37646484375            0.22628044               2.3399909                4.070444858435429        1.0                      0.9550189393939394       1e-05                    26433                    0.29082916722153174      0.9837368473862157       0.41254668682813644      0.5234524309635162       0.10547571832483466      
1000                     1.5113018772337172       4155148                  2.1531899771093252       10.057521453604071       0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.983396                 0.05                     0.8437472661025822       2e-05                    0.4489090917631984       4e-06                    0.431884765625           -0.091427445             1.6693712                3.572761304450758        1.0                      0.9784564393939393       1e-05                    33033                    0.2803751555356112       1.0030439839218603       0.4310140758752823       0.5037300065159798       0.08235365513599281      
1200                     1.8076526726616753       4984748                  1.367558732898249        4.264206785687994        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.9800776                0.05                     0.8261534245684743       2e-05                    0.44106449466198683      4e-06                    0.288818359375           0.010416636              1.0010779                3.1511887059067236       1.0                      0.9857954545454546       1e-05                    39633                    0.2824283874396122       0.9789121801202948       0.40800970792770386      0.47735418379306793      0.06190197937416308      
1400                     2.1033313061793644       5814348                  1.2636672484910485       7.502166983221785        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.9767591999999999       0.049999999999999996     1.4072211775928736       2e-05                    0.4346151615027338       4e-06                    0.321533203125           -0.23350635              1.8199476                2.855039191968513        1.0                      0.9887547348484849       1e-05                    46233                    0.282256133628614        0.9733791784806685       0.37171152234077454      0.44656382501125336      0.051288847670410614     
1600                     2.3989421466324066       6643948                  1.7881663742514504       9.610858908418455        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.9734408                0.05                     1.4976554587483406       2e-05                    0.4265543990768492       4e-06                    0.199951171875           0.12600133               1.5518198                2.6704822309089433       1.0                      0.9869791666666667       1e-05                    52833                    0.284786809574474        0.9629577867912524       0.3765355348587036       0.4448566809296608       0.04937284010829347      
1800                     2.696162315739526        7473548                  5.527786872217313        11.430835572113036       0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.9701223999999999       0.049999999999999996     1.766999308951199        2e-05                    0.42431460483931005      4e-06                    0.294921875              -0.01029556              2.5836322                2.4510175531560723       1.0                      0.9891098484848484       1e-05                    59433                    0.2843615719766328       0.9637991442824855       0.3320396766066551       0.4262095019221306       0.042835435180953056     
2000                     2.9909050283167096       8303146                  1.285248178449583        8.837287987791024        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.966804008              0.05                     4.939190357923508        2e-05                    0.45245098625309765      4e-06                    0.39111328125            1.4202571                2.371564                 2.2624064936782373       1.0                      0.9937263257575758       1e-05                    66033                    0.2808546297477953       0.9740883509318035       0.307715080678463        0.3940180391073227       0.03883406429579764      
2200                     3.2914855741792257       9132552                  1.5361734158094587       6.583239360337188        0.22506015005370697      0.8175506273408034       1.0010594456672999       0.8567123461471905       0.9634863840000001       0.05000000000000001      8.129589140415192        2e-05                    0.47536474699154496      4e-06                    0.526611328125           0.10099838               3.7555838                2.0727124647660684       1.0                      0.9947916666666667       1e-05                    72633                    0.2758460117108894       0.9963197130145449       0.372260682284832        0.41391629725694656      0.033190011978149414     
